id,name,category,stream,state,max_income,caste_category,gender_restriction,min_age,max_age,education_level,healthcare_type,benefits,official_url,notes,last_verified
SCH0011,Post-Matric Scholarship for ST Students,scholarship,All,All,200000,ST,,,,Class 11–PhD,,Fee reimbursement + ?225/?525 per month,https://www.myscheme.gov.in/schemes/pmssts,Implemented by the Ministry of Tribal Affairs (separate from the SC/OBC schemes run by Social Justice ministry). Funds shared 75:25 between Centre and State (90:10 for NE/special category states).,28-06-2026
SCH0012,Pre-Matric Scholarship for Minorities,scholarship,All,All,1000000,Minority,,,,Class 9–10,,~?5-10k/yr,https://www.myscheme.gov.in/schemes/presm,"Scope appears to have narrowed in recent cycles from Class 1-10 down to mainly Class 9-10 - this had the second-most source disagreement, verify current class range on NSP. Max 2 children per family eligible; 30% of slots reserved for girls.",28-06-2026
MED001,Ayushman Bharat – Pradhan Mantri Jan Arogya Yojana (AB PM-JAY),Health Insurance,Central,All India,No fixed cap for SECC-listed deprivation/occupational categories; families with annual income up to ?5 lakh may also qualify under some state expansion,,,,,,Hospitalization (secondary & tertiary care),"Free health insurance up to ?5 lakh per family per year for secondary and tertiary hospitalization, cashless treatment at empanelled hospitals, no limit on family size, age, or gender, pre-existing diseases covered from day one; ManipalCigna senior citizens 70+ get an additional ?5 lakh top-up via Ayushman Vay Vandana Card regardless of income",https://nha.gov.in/PM-JAY," Eligibility based on SECC 2011 data; now operational across all 28 states and 8 UTs as of June 2026, with West Bengal joining June 8, 2026.",28-06-2026
MED002,Central Government Health Scheme (CGHS),Health Insurance/Direct Care,Central,All India,No income limit (contribution scaled by pay/pension),,,,,,OPD + Inpatient + AYUSH,"OPD consultations, inpatient hospitalisation, AYUSH treatments, maternity and child care, cashless treatment at empanelled hospitals; HDFC ERGO coverage up to ?5 lakh per family per year",https://cghs.mohfw.gov.in,"Beneficiaries contribute ?250–?1000/month based on income; dependents include spouse, dependent parents, unmarried children up to 25. (Note: official domain changed from cghs.gov.in/cghs.nic.in to cghs.mohfw.gov.in in April 2025.)",28-06-2026
MED003,Employees' State Insurance Scheme (ESIC/ESI),Health/Social Insurance,Central,All India,"Monthly wage ? ?21,000 (?25,000 for persons with disabilities)",,,,,,Medical + Cash benefits,"Full medical care for insured person and family from day one of employment, no expenditure ceiling on treatment; ESIC sickness benefit at 70% of wages for up to 91 days/year; ESIC maternity benefit for 26 weeks at full wage",https://esic.gov.in/coverage,Applies to establishments with 10+ employees (20+ in Maharashtra/Chandigarh); wage ceiling unchanged since January 2017.,28-06-2026
MED004,Pradhan Mantri Matru Vandana Yojana (PMMVY),Maternity Benefit (Cash),Central,All India,"Net family income below ?8 lakh, or belonging to SC/ST, BPL, PMJAY beneficiaries, e-Shram/MGNREGA cardholders etc.",,Women Only,19,,,Maternity cash assistance,"?5,000 for first living child in two instalments; ?6,000 for second child if it is a girl, in one instalment after birth",https://pmmvy.wcd.gov.in/,Excludes women in regular Central/State Govt or PSU employment or receiving similar statutory maternity benefits; stackable with JSY.,28-06-2026
MED005,Janani Suraksha Yojana (JSY),Maternity Benefit (Cash),Central,All India,BPL certification required in HPS states; simplified criteria where BPL cards unavailable,,Women only,19,,,Institutional delivery cash incentive,"Rural institutional delivery: ?1,400; home delivery (BPL): ?500; National Health Mission amounts vary by state/LPS-HPS/rural-urban classification",https://nhm.gov.in/index1.php?lang=1&level=3&lid=309&sublinkid=841,Covers up to two live births; women under 19 cannot register.,28-06-2026
MED006,Rashtriya Arogya Nidhi (RAN) incl. Health Minister's Cancer Patient Fund,Financial Asistance,Central,All India,"Annual family income should not exceed ?1,25,000",,,,,,Catastrophic/life-threatening illness treatment,"Up to ?15 lakh for life-threatening diseases, up to ?15 lakh under HMCPF for cancer, up to ?50 lakh for rare diseases",https://nhm.gov.in/index1.php?lang=1&level=3&lid=309&sublinkid=841,"Patient must belong to a BPL family; funds paid directly to the treating government hospital, not the patient; treatment only at government hospitals.",28-06-2026
MED007,Pradhan Mantri Bhartiya Janaushadhi Pariyojana (PMBJP),Affordable Medicine Access,Central,All India,9999999,,,,,,Generic medicine subsidy,"Generic medicines at 50–90% cheaper prices than branded equivalents through 14,000+ Jan Aushadhi Kendras; sells 2,047+ medicines and 300+ surgical items",https://janaushadhi.gov.in/,Sanitary napkins available at ?1/pad; not an insurance scheme but a price-subsidy access program.,28-06-2026
MED008,PM RAHAT (Road Accident Victim Hospitalization and Assured Treatment),Emergency Care,Central,All India,9999999,,,,,,Cashless emergency trauma care,"Cashless emergency medical treatment up to ?1.5 lakh per victim for road accident injuries, for the first 7 days from date of accident; stabilization guaranteed up to 24 hrs (non-life-threatening) or 48 hrs (life-threatening)",https://pmjay.gov.in/,Launched 13 Feb 2026; covers any road accident victim including hit-and-run cases; delivered via PM-JAY empanelled hospitals; integrated with ERSS-112.,28-06-2026
MED009,Chief Minister's Comprehensive Health Insurance Scheme (CMCHIS),Health Insurance,State,Tamil Nadu,"NaduSources vary: ?72,000/year PolicyX in some, ?1,20,000/year Starhealth in others (figure has likely been revised over time — verify current threshold before relying on it",,,,"25 (for dependent children, or until marriage)",,Cashless hospitalization,"Up to ?5,00,000 per family per year on a floater basis; covers major surgeries, critical care, diagnostics, and follow-ups",https://www.cmchistn.com/,"Sri Lankan refugees, interstate migrants (6+ months residence), and rescued/orphaned girl children also eligible.",28-06-2026
MED010,HIMCARE (Himachal Health Care Scheme),Health Insurance,State,Himachal Pradesh,Below ?5 lakh annual family income (or BPL/white ration card holder),,,,,,Cashless hospitalization,?5 lakh coverage per family; cashless hospitalisation at government and empanelled private hospitals in-state and a few out-of-state,https://hpsbys.in/,"For families not covered under Ayushman Bharat; must not own more than 35 acres agricultural land; urban household must be under 3,000 sq.ft.",28-06-2026
MED011,Sarbat Sehat Bima Yojana / Mukh Mantri Sehat Yojna (MMSY),Health Insurance,State,Punjab,"Originally below ?5 lakh (white ration card/BPL), Policybazaar but expanded to all bonafide Punjab households irrespective of income after January 2026 integration into MMSY",,,,,,Cashless hospitalization,"Coverage upgraded to ?10 lakh per family; covers 2,000 treatment packages; pre-existing disease coverage from Day 1 with no waiting period",https://sha.punjab.gov.in/shapunjab/index.php,"Integrated into MMSY in January 2026, broadening it beyond income-based eligibility.",28-06-2026
MED012,Ayushman Bharat Health and Wellness Centres / Ayushman Arogya Mandir,Primary Healthcare,Central,All India,9999999,,,,,,Free primary/preventive care,"Upgrading Sub Health Centres and PHCs to provide free basic checkups, screenings, and primary care closer to the community Press Information Bureau (target of 1,50,000 centres nationally)",https://aam.mohfw.gov.in/,"Formerly ""Health & Wellness Centres,"" rebranded ""Ayushman Arogya Mandir""; the primary-care pillar complementing the PM-JAY hospitalization pillar.",28-06-2026
